group,placeName,lineNumber,station,address,lat,lng
미술관,ADM 갤러리,2호선,역삼역,서울 강남구 역삼로14길 20,37.49318 ,127.03562 
공연장,CKL 스테이지,1호선,종각역,서울 중구 청계천로 40,37.56853 ,126.98161 
문화예술회관,DDP,"2호선, 4호선, 5호선",동대문역사문화공원역,서울 중구 을지로 281,37.56653 ,127.00923 
공연장,JCC 아트센터,4호선,혜화역,서울 종로구 혜화동  창경궁로35길 29,37.58729 ,127.00201 
미술관,kp 갤러리,"1호선, 4호선, 공항철도",서울역,서울 용산구 소월로2나길 12,37.55330 ,126.97730 
공연장,KT&G 상상아트홀,2호선,삼성역,서울 강남구 대치동 영동대로 416,37.50657 ,127.06534 
공연장,KT체임버홀,5호선,오목교역,서울 양천구 목동서로 201,37.52927 ,126.87115 
미술관,LG 사이언스홀,5호선,여의나루역,서울 영등포구 여의도동 20,37.52799 ,126.92926 
공연장,LG아트센터,2호선,역삼역,서울 강남구 역삼동 논현로 508,37.50230 ,127.03753 
기타,N서울타워,3호선,동대입구역,서울 용산구 용산동2가 1-3,37.55123 ,126.98821 
미술관,OCI미술관,1호선,종각역,서울 종로구 우정국로 45-14,37.57317 ,126.98208 
미술관,pkm gallery,3호선,안국역,서울 종로구 화동  율곡로3길 74-9,37.58407 ,126.98014 
공연/전시장,SETEC전시장,3호선,학여울역,서울 강남구 남부순환로 3104,37.49574 ,127.07180 
공연장,SJ비보이극장,"2호선, 경의선, 공항철도",홍대입구역,서울 마포구 서교동  와우산로 121,37.55348 ,126.92677 
미술관,가나아트 한남,6호선,이태원역,서울 용산구 대사관로 35,37.53398 ,127.00200 
미술관,가나아트센터,3호선,경복궁역,서울 종로구 평창동 평창30길 28,37.61220 ,126.97510 
기타,가락몰 쿠킹스튜디오,"3호선, 8호선",가락시장역,서울 송파구 양재대로 932,37.49315 ,127.11236 
미술관,가람화랑,3호선,안국역,서울 종로구 관훈동 30-10,37.57459 ,126.98427 
박물관/기념관,가톨릭대학교 전례박물관,4호선,한성대입구역,서울 종로구 혜화동 90-1,37.58581 ,127.00482 
박물관/기념관,가회민화박물관,3호선,안국역,서울 종로구 북촌로 52,37.58145 ,126.98524 
미술관,간송미술관,4호선,한성대입구역,서울 성북구 성북동 성북로 102-11,37.59454 ,126.99662 
공연장,갈갈이홀,4호선,혜화역,서울 종로구 동숭동 1-100,37.58099 ,127.00350 
문화예술회관,갈산문화예술센터,2호선,양천구청역,서울 양천구 신정동 1325-3,37.51064 ,126.87019 
기타,강남구민체육관,3호선,매봉역,서울 강남구 개포동 1271,37.47715 ,127.05189 
문화예술회관,강남구민회관,3호선,대치역,서울 강남구 대치동 509-2,37.49389 ,127.06426 
공연장,강남구민회관강당,3호선,대치역,서울 강남구 대치동 509-2,37.49389 ,127.06426 
문화예술회관,강남문화재단,"7호선, 수인분당선",강남구청역,서울 강남구 선릉로 668 5층,37.51646 ,127.04209 
기타,강남스포츠문화센터,"3호선, 수인분당선",수서역,서울 강남구 수서동 718,37.48910 ,127.10527 
공연장,강남씨어터,"2호선, 신분당선",강남역,서울 강남구 역삼로7길 16 3층,37.49527 ,127.03323 
문화예술회관,강남힐링센터,9호선,봉은사역,서울 강남구 테헤란로87길 46,37.51033 ,127.05856 
공연장,강동아트센터,5호선,고덕역,서울 강동구 상일동 (동남로) 870,37.55119 ,127.15740 
공연장,강동어린이회관아이누리홀,8호선,강동구청역,서울 강동구 성내동 556-1,37.52915 ,127.12243 
유적지,서울 태릉과 강릉,경춘선선,갈매역,서울 노원구 화랑로 727,37.63642 ,127.09787 
문화예술회관,강북문화예술회관,우이신설경전철,가오리역,서울 강북구 수유동 360-10,37.64080 ,127.01315 
기타,강북웰빙스포츠센터,4호선,수유역,서울 강북구 번동 318,37.63042 ,127.03777 
문화예술회관,강서구민회관,5호선,발산역,서울 강서구 내발산동 19-1,37.55340 ,126.84374 
기타,개운산스포츠센터,우이신설경전철,성신여대입구역,서울 성북구 북악산로 949-60,37.59685 ,127.02624 
문화예술회관,개포디지털혁신파크 열림관,수인분당선,개포동역,서울 강남구 개포동 153-153,37.48823 ,127.06479 
미술관,갤러리 JJ,7호선,학동역,서울 강남구 논현로 745,37.51829 ,127.02844 
미술관,갤러리 가이아,3호선,안국역,서울 종로구 관훈동 145,37.57508 ,126.98346 
미술관,갤러리 구루지,"2호선, 7호선",대림역,서울 구로구 가마산로25길 21,37.49707 ,126.88956 
미술관,갤러리 도올,3호선,안국역,서울 종로구 팔판동 27-6,37.58321 ,126.98168 
미술관,갤러리 라메르,1호선,종각역,서울 종로구 인사동 194 5길 26,37.57261 ,126.98489 
미술관,갤러리 룩스,3호선,경복궁역,서울 종로구 관훈동 185,37.58161 ,126.96785 
미술관,갤러리 비선재,경의선,한남역,서울 용산구 유엔빌리지3길 54-14,37.53574 ,127.01424 
미술관,갤러리 세줄,3호선,경복궁역,서울 종로구 평창동 464-13,37.61340 ,126.97514 
미술관,갤러리 아트사이드,3호선,경복궁역,서울 종로구 관훈동 170,37.57825 ,126.97294 
미술관,갤러리 원,수인분당선,압구정로데오역,서울 강남구 청담동 101-5,37.52753 ,127.04589 
미술관,갤러리 인,경의선,가좌역,서울 종로구 팔판동 141,,
미술관,갤러리 조은,6호선,한강진역,서울 용산구 이태원로55가길 3,37.53805 ,127.00063 
미술관,갤러리 현대,3호선,안국역,서울 종로구 사간동 122,37.57723 ,126.97992 
공연/전시장,히든플레이스,2호선,이대역,서울 서대문구 대현동 53-9,37.55843 ,126.94625 
미술관,갤러리BK,6호선,한강진역,서울 용산구 이태원로42길 56,37.53694 ,127.00129 
미술관,갤러리미즈,3호선,안국역,서울 종로구 삼일대로 461 SK HUB빌딩 101동 B105,37.57624 ,126.98504 
유적지,거창신씨묘역,"3호선, 5호선",오금역,서울 송파구 오금동,37.50198 ,127.13060 
박물관/기념관,건국대학교 박물관,7호선,어린이대공원역,서울 광진구 화양동 1,37.54253 ,127.07564 
공연장,건국대학교 새천년대공연장,"2호선, 7호선",건대입구역,서울 광진구 화양동 1,,
미술관,겸재정선미술관,9호선,양천향교역,서울 강서구 가양동 243-1,37.57225 ,126.83844 
유적지,경교장,5호선,서대문역,서울 종로구 새문안로 29,37.56849 ,126.96801 
박물관/기념관,경기여고 경운박물관,수인분당선,개포동역,서울 강남구 개포동 152,37.48786 ,127.06603 
유적지,경복궁,3호선,경복궁역,서울 종로구 사직로 161,37.57964 ,126.97704 
기타,경의선 책거리,"2호선, 경의선, 공항철도",홍대입구역,서울 마포구 와우산로37길 35,37.55626 ,126.92930 
미술관,경인미술관,3호선,안국역,서울 종로구 관훈동 30-1,37.57442 ,126.98541 
박물관/기념관,경찰박물관,3호선,독립문역,서울 종로구 신문로2가 58,37.57214 ,126.96165 
미술관,경춘선숲길 갤러리,6호선,화랑대역,서울 노원구 화랑로 608,37.62506 ,127.09372 
공연장,경향아트힐 2층 썬앤문 전용관,5호선,서대문역,서울 중구 정동길 3,37.56814 ,126.96996 
유적지,경희궁,5호선,광화문역,서울 종로구 새문안로 45,37.57126 ,126.96817 
박물관/기념관,경희대학교 자연사박물관,1호선,외대앞역,서울 동대문구 회기동 130-701,37.59772 ,127.05513 
박물관/기념관,경희대학교 중앙박물관,"1호선, 경의선, 경춘선",회기역,서울 동대문구 경희대로6길 7-13,37.59537 ,127.05277 
박물관/기념관,고려대학교 박물관,6호선,고려대역,서울 성북구 안암동5가 1-2,37.58940 ,127.03453 
미술관,공갤러리,3호선,안국역,서울 종로구 인사동 23-2 2-2,,
유적지,공민왕신당,"1호선, 3호선, 5호선",종로3가역,서울 종로구 종로 157,37.57274 ,126.99510 
박물관/기념관,공평도시유적전시관,1호선,종각역,서울 종로구 우정국로 26,37.57189 ,126.98333 
박물관/기념관,관문사 성보박물관,3호선,양재역,서울 서초구 우면동  바우뫼로7길 111,37.47367 ,127.02200 
기타,관악구민종합체육센터,2호선,낙성대역,서울 관악구 낙성대로3길 37,,
문화예술회관,관악문화재단,2호선,서울대입구역,서울 관악구 신림로3길 35,37.46755 ,126.94486 
공연장,관악아트홀,2호선,서울대입구역,서울 관악구 신림로 3길 35,37.46755 ,126.94486 
미술관,관훈갤러리,3호선,안국역,서울 종로구 관훈동 195,37.57379 ,126.98422 
유적지,광개토대왕릉비,"4호선, 6호선",삼각지역,서울 용산구 이태원로 29,37.53666 ,126.97714 
공연/전시장,광진교 8번가,5호선,광나루역,서울 강동구 천호2동 527-2,37.54504 ,127.11250 
공연장,광진구민체육센터,5호선,광나루역,서울 광진구 구천면로 2,,
유적지,광평대군묘,3호선,일원역,서울 강남구 광평로31길 20,37.48663 ,127.09215 
유적지,광화문,3호선,경복궁역,서울 종로구 효자로 12,37.57597 ,126.97691 
문화예술회관,광화문아트홀,3호선,독립문역,서울 종로구 인왕산로1길 21,37.57429 ,126.96461 
공연장,구로 꿈나무극장,7호선,남구로역,서울 구로구 구로동로26길 54,37.48961 ,126.88647 
기타,구로구민체육센터,1호선,개봉역,서울 구로구 고척로45길 39,,
공연장,구로구민회관 대강당,"2호선, 7호선",대림역,서울 구로구 구로동 102,37.49709 ,126.88956 
문화예술회관,구로아트밸리예술극장,"2호선, 7호선",대림역,서울 구로구 구로동 101,37.49653 ,126.88890 
미술관,구슬모아당구장,1호선,종각역,서울 용산구 독서당로 85,,
문화원,국기원,"2호선, 신분당선",강남역,서울  강남구 역삼동 635,,
유적지,국립4.19민주묘지,우이신설경전철,4.19민주묘지역,서울 강북구 수유동,37.64855 ,127.00767 
박물관/기념관,국립고궁박물관,3호선,경복궁역,서울 종로구 세종로 1-57,37.57663 ,126.97496 
공연장,국립국악원,3호선,남부터미널역,서울 서초구 서초동  남부순환로 2364,37.47779 ,127.00830 
기타,국립국어원 우리말 꿈터,5호선,방화역,서울 강서구 방화동 827,,
공연장,국립극단 백성희장민호극장,"1호선, 4호선, 공항철도",서울역,서울 용산구 청파로 373,37.55282 ,126.96811 
공연장,국립극단 소극장 판,"1호선, 4호선, 공항철도",서울역,서울 용산구 청파로 373,37.55282 ,126.96811 
공연장,국립극장,3호선,동대입구역,서울 중구 장충단로 59,37.55257 ,126.99962 
박물관/기념관,국립민속박물관,3호선,안국역,서울 종로구 세종로 1-1,37.58168 ,126.97899 
문화예술회관,국립박물관문화재단,3호선,경복궁역,서울 용산구 서빙고로 137,37.52390 ,126.98046 
박물관/기념관,국립서울과학관,4호선,혜화역,서울 종로구 와룡동 110-360,37.58227 ,126.99699 
유적지,국립서울현충원,"4호선, 9호선",동작역,서울 동작구 동작동 271-18,37.50061 ,126.97264 
공연장,국립중앙극장,3호선,동대입구역,서울 중구 장충동2가 14-67,,
박물관/기념관,국립중앙박물관,"4호선, 경의선",이촌역,서울 용산구 서빙고로 137,37.52390 ,126.98046 
공연장,국립중앙박물관 극장 용,"4호선, 경의선",이촌역,서울 용산구 용산동6가 168-6,37.52390 ,126.98046 
박물관/기념관,국립한글박물관,"4호선, 경의선",이촌역,서울 용산구 용산동6가 412-6,37.52103 ,126.98096 
미술관,국립현대미술관,"1호선, 2호선",시청역,서울 중구 정동 세종대로 99,,
미술관,국립현대미술관 덕수궁관,"1호선, 2호선",시청역,서울 중구 세종대로 99,37.56585 ,126.97377 
미술관,국립현대미술관 서울,3호선,안국역,서울 종로구 삼청로 30,37.57945 ,126.98036 
박물관/기념관,국민대학교 박물관,4호선,길음역,서울 성북구 정릉동  정릉로 77,37.61270 ,126.99359 
미술관,국제갤러리,3호선,안국역,서울 종로구 소격동 59-1,37.58066 ,126.98059 
박물관/기념관,근현대사기념관 ,9호선,4.19민주묘지역,서울 강북구 4.19로 114,37.64349 ,127.00275 
공연장,금나래아트홀,1호선,금천구청역,서울 금천구 시흥대로73길 70,37.45661 ,126.89576 
공연장,금빛공원 야외공연장,1호선,금천구청역,서울 금천구 독산동 371-2,,
기타,금빛휘트니스센터,1호선,금천구청역,서울 금천구 시흥동 금하로 668,,
박물관/기념관,금성당샤머니즘박물관,3호선,구파발역,서울 은평구 진관2로 57-23,37.63510 ,126.92543 
문화예술회관,금천마을활력소 어울샘,2호선,구로디지털단지역,서울 금천구 탑골로 22,,
미술관,금천예술공장,1호선,독산역,서울 금천구 범안로15길 57,37.46887 ,126.89178 
미술관,금호미술관,3호선,안국역,서울 종로구 사간동 78,37.57755 ,126.97988 
공연장,금호아트홀,2호선,신촌역,서울 종로구 신문로1가  새문안로 75,,
박물관/기념관,기생충박물관,9호선,가양역,서울 강서구 화곡로 333,37.55359 ,126.85073 
공연장,김동수플레이하우스,4호선,혜화역,서울 종로구 연건동 178-1,37.57654 ,127.00256 
미술관,김영섭사진화랑,3호선,안국역,서울 종로구 관훈동 169-2,,
미술관,김영옥 미술관,5호선,광화문역,서울 종로구 창의문로10길 11,37.59393 ,126.96419 
유적지,김유신장군동상,4호선,회현역,서울 중구 남창동 204-2,,
공연/전시장,김중업 건축문화의집,6호선,상월곡역,서울 성북구 장위로21나길 11,37.61500 ,127.04405 
박물관/기념관,김치박물관,9호선,봉은사역,서울 강남구 삼성동 159,37.57359 ,126.98488 
기타,꼬스트홀,"2호선, 3호선",을지로3가역,서울 중구 명동2가 1-1,37.56313 ,126.98679 
문화예술회관,나루아트센터,"2호선, 7호선",건대입구역,서울 광진구 자양동 227-344,37.53739 ,127.07053 
유적지,낙성대,2호선,낙성대역,서울 관악구 낙성대로 77,37.47112 ,126.95998 
유적지,남산골한옥마을,"3호선, 4호선",충무로역,서울 중구 퇴계로 34길 28,37.55935 ,126.99449 
기타,남산공원 호현당,4호선,회현역,서울 중구 회현동1가 산 1-44,,
유적지,남산봉수대,4호선,명동역,서울 중구 예장동,37.55205 ,126.98747 
공연장,남산예술센터드라마센터,4호선,명동역,서울 중구 예장동 8-19,37.55897 ,126.98845 
미술관,남산전시관,6호선,한강진역,서울 용산구 이태원동 258-148,37.54144 ,126.99702 
기타,내곡느티나무쉼터,신분당선선,양재시민의숲역,서울 서초구 염곡말길 9,,
기타,노들섬 복합문화공간,9호선,노들역,서울 용산구 양녕로 445,37.51801 ,126.95750 
기타,노원구민체육센터,7호선,중계역,서울 노원구 중계동 507-3,,
문화예술회관,노원문화예술회관,7호선,하계역,서울 노원구 중계로 181,37.65027 ,127.08025 
공연장,노원어린이극장,"4호선, 7호선",노원역,서울 노원구 노해로 502,37.65453 ,127.06365 
미술관,노화랑,3호선,안국역,서울 종로구 관훈동 103,37.57486 ,126.98407 
박물관/기념관,농업박물관,5호선,서대문역,서울 중구 충정로1가 100-707,37.56643 ,126.96811 
유적지,다산정약용동상,"1호선, 4호선",서울역,서울 용산구 소월로 108,,
공연장,단막극장,4호선,혜화역,서울 종로구 동숭동 12-6,37.58329 ,127.00457 
공연장,단성사,"1호선, 3호선, 5호선",종로3가역,서울 종로구 묘동 56,,
유적지,대동문,4호선,수유역,서울 강북구 4.19로28길 19-9,37.64031 ,126.98608 
미술관,대림미술관,3호선,경복궁역,서울 종로구 통의동 35-1,37.57753 ,126.97337 
미술관,대안공간 풀,3호선,경복궁역,서울 종로구 구기동 56-13,37.60642 ,126.95919 
공연장,대원 컨텐츠 라이브,"1호선, 경의선",용산역,서울 용산구 한강대로23길 55,37.52877 ,126.96329 
기타,대진체육관,3호선,대청역,서울 강남구 개포동 13-1,,
공연장,대학로 열린 극장,4호선,혜화역,서울 종로구 명륜2가 21-18,37.58371 ,127.00034 
공연장,대학로극장,4호선,혜화역,서울 종로구 연건동 178-1,37.57657 ,127.00252 
기타,대학로연습실,4호선,혜화역,서울 종로구 동숭길117,,
공연장,대한극장,"3호선, 4호선",충무로역,서울 중구 충무로4가 125,37.56109 ,126.99531 
박물관/기념관,덕성여자대학교 박물관,우이신설경전철,솔밭공원역,서울 도봉구 쌍문동 419,37.65324 ,127.01626 
유적지,덕수궁,"1호선, 2호선",시청역,서울 중구 세종대로 99,37.56582 ,126.97515 
미술관,덕원갤러리,"1호선, 3호선, 5호선",종로3가역,서울 종로구 인사동 15길 24,,
공연/전시장,도봉구민청 1층 갤러리,1호선,방학역,서울 도봉구 마들로 656,37.66867 ,127.04705 
문화예술회관,도봉문화재단,"1호선, 4호선",창동역,서울 도봉구 노해로63길 43,37.65260 ,127.04407 
박물관/기념관,도산안창호 기념관,수인분당선,압구정로데오역,서울 강남구 신사동 649-9,37.52390 ,127.03550 
공연장,도원극장,3호선,녹번역,서울 은평구 녹번동 79-2,,
유적지,도편수이승업가옥,"3호선, 4호선",충무로역,서울 중구 퇴계로 34길 28,37.55885 ,126.99410 
유적지,독립문,3호선,독립문역,서울 서대문구 현저동 941,37.57243 ,126.95953 
박물관/기념관,돈의문박물관마을,5호선,서대문역,서울 종로구 송월길 14-3,37.56880 ,126.96850 
문화예술회관,돈화문 서울무형문화재교육전시장,3호선,안국역,서울 종로구 율곡로 10길 13,37.57692 ,126.99110 
박물관/기념관,동국대학교 박물관,3호선,동대입구역,서울 중구 필동3가 26,37.55807 ,127.00246 
기타,동대문구민체육센터,5호선,장한평역,서울 동대문구 장안벚꽃로 67,,
공연/전시장,동대문구청 아트갤러리,2호선,용두역,서울 동대문구 용두동 39-9,37.57442 ,127.03974 
기타,동대문구체육관,1호선,제기역,서울 동대문구 답십리동 2-294,,
문화예술회관,동대문구문화회관,5호선,답십리역,서울 동대문구 답십리로 210-9,37.57178 ,127.06377 
미술관,동덕아트갤러리,3호선,안국역,서울 종로구 관훈동 151-4,37.57498 ,126.98327 
박물관/기념관,동덕여자대학교 박물관,6호선,월곡역,서울 성북구 하월곡동 23-1,37.60657 ,127.04276 
공연장,동방예술극장,4호선,혜화역,서울 마포구 노고산동 33-22,,
미술관,동산방화랑,1호선,종각역,서울 종로구 견지동 93,37.57292 ,126.98333 
미술관,동서화랑,4호선,명동역,서울 종로구 관훈동 196-3,37.57427 ,126.98486 
공연장,동숭무대,4호선,혜화역,서울 종로구 혜화로 35,37.58648 ,127.00049 
공연장,동숭아트센터,4호선,혜화역,서울 종로구 동숭동 1-5,37.58373 ,127.00368 
문화예술회관,동작문화재단,9호선,흑석역,서울 동작구 흑석로 93-1,37.50746 ,126.95987 
미술관,동작아트갤러리,7호선,보라매역,서울 동작구 보라매로5길 28-1,37.49387 ,126.92314 
미술관,동호갤러리,"1호선, 3호선, 5호선",종로3가역,서울 종로구 관훈동 197-18,,
미술관,두산갤러리,1호선,종로5가역,서울 종로구 종로33길 15,37.57179 ,127.00098 
